zip:varchar:5	lat:decimal:10,6	long:decimal:10,6	city:varchar:25	stateshort:varchar:2	state:varchar:20	county:varchar:21	herotitle:varchar:50	seotitle:varchar:100	seodescription:varchar:250	maps:varchar:250
78201	29.399933	-98.537495	San Antonio	TX	Texas	Bexar	Water Softeners San Antonio TX	Water Softeners San Antonio TX - Whole House Water Filtration San Antonio	Water Softeners in San Antonio TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the San Antonio Area for over 30 years!	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d444670.8173465104!2d-98.79456793180148!3d29.458280130304416!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c58af04d00eaf%3A0x856e13b10a016bc!2sSan%20Antonio%2C%20TX!5e0!3m2!1sen!2sus!4v1680560464203!5m2!1sen!2sus
78006	29.893137	-98.685719	Boerne	TX	Texas	Kendall	Water Softeners Kendall TX	Water Softeners Kendall TX Whole House Water Filtration Kendall Texas	Install a Water Softeners in Kendall TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Kendall Texas Area for over 30 years!	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d442600.24470185535!2d-98.99776632813035!3d29.927244653509323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c78a20c3ae38b%3A0x92a9f897456f3e43!2sKendall%20County%2C%20TX!5e0!3m2!1sen!2sus!4v1681506909571!5m2!1sen!2sus
78109	29.378081	-98.250136	Converse	TX	Texas	Bexar	Water Softeners Converse TX	Water Softeners Converse TX - Whole House Water Filtration in Converse Texas	Water Softeners Converse TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Servicing the Converse Area for over 30 years! Whole House Water Filtration Converse Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55558.980759706894!2d-98.34716047981999!3d29.503639424441726!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865cf2a8a8535105%3A0x2b58fc681d3892b5!2sConverse%2C%20TX!5e0!3m2!1sen!2sus!4v1681506937789!5m2!1sen!2sus
78022	28.302094	-98.104154	George West	TX	Texas	Live Oak	Water Softeners George West TX	Water Softeners George West TX - Whole House Water Filtration in George West Texas	Install a Water Softeners Systems in George West TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Servicing the George West Area for over 30 years! Whole House Water Filtration George West Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d28095.59031148095!2d-98.14058460124238!3d28.330151446702565!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8667f2b0935e9a49%3A0x85599d07e4c2c7f5!2sGeorge%20West%2C%20TX%2078022!5e0!3m2!1sen!2sus!4v1681506974920!5m2!1sen!2sus
78148	29.437532	-98.461582	Universal City	TX	Texas	Bexar	Water Softeners Universal City TX	Water Softeners Universal City TX  - Whole House Water Filtration in Universal City Texas	Install a Water Softeners Universal City TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Universal City Area for over 30 years! Whole House Water Filtration Universal City Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55531.88722554161!2d-98.34373452919387!3d29.5529792178555!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c92a02cfaa72d%3A0xc37a3f8816c2e17f!2sUniversal%20City%2C%20TX!5e0!3m2!1sen!2sus!4v1681507000324!5m2!1sen!2sus
78154	29.578978	-98.277839	Schertz	TX	Texas	Guadalupe	Water Softeners Schertz TX	Water Softeners Schertz TX - Whole House Water Filtration in Schertz Texas	Install a Water Softeners Schertz TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Schertz Area for over 30 years! Whole House Water Filtration Schertz Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d222095.74591279856!2d-98.40653018025773!3d29.56744403573352!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c9316e24d8cbf%3A0xed5a4caeae49e5ad!2sSchertz%2C%20TX!5e0!3m2!1sen!2sus!4v1681507027192!5m2!1sen!2sus
78130	29.776488	-98.221041	New Braunfels	TX	Texas	Comal	Water Softeners New Braunfels TX	Water Softeners New Braunfels TX - Whole House Water Filtration in New Braufels Texas	Water Softeners New Braunfels TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the New Braunfels Area for over 30 years! Whole House Water Filtration New Braunfels Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d222095.74591279856!2d-98.40653018025773!3d29.56744403573352!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c9beee3cc091d%3A0x59ed9c234a123567!2sNew%20Braunfels%2C%20TX!5e0!3m2!1sen!2sus!4v1681507054085!5m2!1sen!2sus
78064	28.975023	-98.495551	Pleasanton	TX	Texas	Atascosa	Water Softeners Pleasanton TX	Water Softeners Pleasanton TX - Whole House Water Filtration in Pleasanton Texas	Install a Water Softeners Pleasanton TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Pleasanton Area for over 30 years! Whole House Water Filtration Pleasanton Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55848.82547359763!2d-98.53209578651875!3d28.971021646739047!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865d0800fe56ff1f%3A0xb72f4c4260f093d5!2sPleasanton%2C%20TX%2078064!5e0!3m2!1sen!2sus!4v1681507080551!5m2!1sen!2sus
78155	29.578734	-97.951829	Seguin	TX	Texas	Guadalupe	Water Softeners Seguin TX	Water Softeners Seguin TX - Whole House Water Filtration in Seguin Texas	Install a Water Softeners Seguin TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Seguin Area for over 30 years! Whole House Water Filtration Seguin Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d222028.87874400505!2d-98.11337082383965!3d29.59783597102233!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865cb81a303bfdc7%3A0x9ad8d00ad149d44c!2sSeguin%2C%20TX%2078155!5e0!3m2!1sen!2sus!4v1681507106019!5m2!1sen!2sus
78861	29.398586	-99.176245	Hondo	TX	Texas	Medina	Water Softeners Hondo TX	Water Softeners Hondo TX - Whole House Water Filtration in Hondo Texas	Water Softeners in  Hondo TX by Hill Country Soft Water. Your Water purification and whole house water filter expert. Service the Hondo Area for over 30 years! Whole House Water Filtration Hondo Texas.	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27820.826595269762!2d-99.15892109999996!3d29.35261895000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x865c26f96038abc1%3A0x2a38ab9192b16851!2sHondo%2C%20TX%2078861!5e0!3m2!1sen!2sus!4v1681507129332!5m2!1sen!2sus
